Date	SLLT	STTB	TSLD	TSLX	TSLN
9/01/1991	90	120	13.08414859	13.08711785	13.08210638
9/01/1991	120	150	14.60087489	14.60503712	14.5968974
9/01/1991	150	180	16.02081051	16.02414625	16.01746127
9/01/1991	180	210	22.5060721	22.51581281	22.49634218
10/01/1991	0	0	17.77676478	11.05990014	26.62857261
10/01/1991	0	5	17.49905243	21.88854204	13.48012006
10/01/1991	5	15	16.74184681	17.33207736	16.13232171
10/01/1991	15	30	15.04021978	15.09493121	14.99458319
10/01/1991	30	45	12.82857799	12.96209	12.67626598
10/01/1991	45	60	11.60046007	11.73473594	11.46269392
10/01/1991	60	90	11.71325142	11.76478372	11.66354292
10/01/1991	90	120	13.09227529	13.09822606	13.08728669
10/01/1991	120	150	14.59319972	14.59673707	14.58988869
10/01/1991	150	180	16.01394537	16.01731818	16.01056414
10/01/1991	180	210	22.48622178	22.49592864	22.47652562
11/01/1991	0	0	19.52066505	13.30732337	23.25346736
11/01/1991	0	5	18.36262655	20.2318167	16.17022829
11/01/1991	5	15	16.96304687	17.27903156	16.74254108
11/01/1991	15	30	15.06458507	15.1154825	15.03931106
11/01/1991	30	45	13.08089415	13.18827286	12.96726811
11/01/1991	45	60	11.86610498	11.98791298	11.7402731
11/01/1991	60	90	11.82176484	11.87765199	11.76705179
11/01/1991	90	120	13.10651325	13.11545053	13.09852278
11/01/1991	120	150	14.5869716	14.58975856	14.58444753
11/01/1991	150	180	16.00702683	16.01041994	16.00363117
11/01/1991	180	210	22.4664402	22.47611351	22.45677748
12/01/1991	0	0	16.1337176	10.01669608	25.2429501
12/01/1991	0	5	17.10960489	20.00844651	14.04223934
12/01/1991	5	15	16.87512665	17.28884866	16.58103409
12/01/1991	15	30	15.15091143	15.16618431	15.1192096
12/01/1991	30	45	13.29089787	13.38297743	13.19263243
12/01/1991	45	60	12.10676122	12.21703057	11.99291989
12/01/1991	60	90	11.9378885	11.99635749	11.88007705
12/01/1991	90	120	13.12677037	13.13855914	13.11587307
12/01/1991	120	150	14.58242264	14.58435247	14.5807846
12/01/1991	150	180	16.00009221	16.00348662	15.99670168
12/01/1991	180	210	22.44672676	22.45636679	22.43709725
13/01/1991	0	0	10.34606071	4.461350158	19.71198734
13/01/1991	0	5	12.5460214	15.68439887	9.44754495
13/01/1991	5	15	15.46389508	16.73374599	14.6734471
13/01/1991	15	30	15.04708712	15.16701627	14.86617599
13/01/1991	30	45	13.45791562	13.51165274	13.3866025
13/01/1991	45	60	12.32381591	12.42169874	12.22155665
13/01/1991	60	90	12.05828187	12.11791406	11.99887058
13/01/1991	90	120	13.15270177	13.16711461	13.13910016
13/01/1991	120	150	14.57973702	14.58072846	14.57905748
13/01/1991	150	180	15.99318256	15.99655766	15.98981817
13/01/1991	180	210	22.42708102	22.43668797	22.41748455
14/01/1991	0	0	10.21131152	2.272376559	21.49590535
14/01/1991	0	5	11.04219912	16.00062324	6.525959933
